DATE,TEMP,RH,WS,WD,PRECIP_24H,FFMC,DMC,DC,ISI,BUI,FWI,DSR,category,SPREAD_EVENT_DAYS
2024-06-01,13.7,44.0,12.4,245.0,0.0,86.72255355770727,8.181948607999999,20.869999999999997,5.009153932241898,8.264140270409241,4.906367685924886,0.4541656308583054,high,4
2024-06-02,14.3,32.0,11.0,234.0,0.0,88.97860176323897,10.938870159999999,26.848,6.445712128083336,10.930128842243356,7.2176244456074965,0.8993459450092924,extreme,5
2024-06-03,14.8,41.0,13.1,220.0,1.0,85.04361375179305,13.408568505999998,32.916,4.102107736764629,13.39981081077296,5.239817674285364,0.510221240808395,high,6
2024-06-04,11.9,36.0,21.8,228.0,0.7999999999999999,85.83103284692676,15.598941625999998,38.461999999999996,7.093897211751088,15.592216203888524,9.400524615447893,1.4356484455171177,extreme,7
2024-06-05,11.5,32.0,13.8,247.0,0.0,88.33034236310054,17.854604713999997,43.93599999999999,6.7629643553533025,17.846800280676163,9.678952706742834,1.511767884408916,extreme,1
2024-06-06,15.7,28.0,18.0,222.0,0.0,90.33703061395917,21.039070249999998,50.166,11.144116071140303,21.01521142743501,15.64917785706503,3.5384976038391103,extreme,5
2024-06-07,15.8,21.0,12.2,232.0,0.0,92.00464057716167,24.553934616,56.413999999999994,10.547955088206646,24.510268441352395,16.180665923340925,3.753984858155809,extreme,2
2024-06-08,15.3,23.0,5.9,251.0,0.0,92.0546598865761,27.878457664,62.571999999999996,7.7333787837067955,27.821232068784255,13.594647877552504,2.7582282284512294,extreme,5
2024-06-09,16.3,36.0,6.9,116.0,0.0,91.28501420622294,30.810187839999998,68.91,7.29225422561576,30.749636525514003,13.682804196664963,2.789965626240746,extreme,5
2024-06-10,16.7,38.0,13.6,230.0,0.0,90.74554983576732,33.715591415999995,75.32,9.464677947145862,33.65283392642936,17.481419943451186,4.304568993622055,extreme,2
2024-06-11,17.3,40.0,14.7,249.0,5.0,71.17882792319368,24.48438022217097,75.05195984880922,1.3640919072567965,26.971399860841665,2.4208682756146436,0.1300762044238529,moderate,6
2024-06-12,12.2,35.0,13.7,242.0,0.0,83.4452005964311,26.76031479217097,80.65195984880921,3.4110848714984447,29.25424135488911,7.020461396014401,0.8563200532961077,high,3
2024-06-13,16.5,24.0,12.4,218.0,0.0,89.99332334214762,30.28176080817097,87.02595984880921,8.000673938766282,32.388538561239706,15.102638137712278,3.322709626214079,extreme,5
2024-06-14,16.6,32.0,10.7,243.0,0.0,90.1343265325446,33.45043038417097,93.4179598488092,7.493652821734101,35.30049400727503,15.025423764131112,3.292700388609389,extreme,4
2024-06-15,13.6,40.0,2.7,231.0,3.0,69.09547069064251,28.476072492396586,96.24805363497671,0.6964383998501614,32.73764268663743,0.8723322689099278,0.021358755008608215,moderate,1
2024-06-16,7.4,80.0,4.3,76.0,4.0,43.15197579472447,20.293634124802406,95.88349897632855,0.07582748110898345,26.5428550917176,0.0825212344344786,0.00032876851596036613,moderate,5
2024-06-17,9.5,48.0,8.6,222.0,12.1,40.87333046121733,10.916693100184588,79.63083008247172,0.06308214138267312,16.260465710714072,0.05031174020181481,0.00013693789079280774,moderate,2
2024-06-18,8.0,51.0,5.4,159.0,0.0,61.40235291267156,12.090596194184588,84.47483008247171,0.583833908416302,17.80888056113731,0.49228297911971197,0.00775870314452739,moderate,3
2024-06-19,11.7,41.0,7.3,31.0,0.0,77.38614969908384,14.078781026184588,89.98483008247172,1.2951370949251042,20.240592386714404,1.6483720049134079,0.06588046582259782,moderate,4
2024-06-20,15.1,29.0,6.8,343.0,0.0,86.66297808275272,17.10686655818459,96.10683008247172,3.7457964007351494,23.6773875491112,6.7299174896644,0.7945955770460715,high,3
2024-06-21,20.1,24.0,7.6,204.0,0.0,91.27397734649037,21.34860835018459,103.12883008247172,7.542216563567085,28.13612863571433,13.409367743396203,2.6920405487322157,extreme,4
2024-06-22,22.0,23.0,9.5,213.0,0.0,92.72038421937317,26.03132069218459,110.49283008247173,10.183336301552057,32.764774759537154,18.207327594613286,4.625989995475757,extreme,5
2024-06-23,17.8,31.0,11.6,248.0,0.5,92.26373383534917,29.46457259818459,117.10083008247173,10.615234948954722,36.17409314329275,19.722934766263904,5.3292798547954705,extreme,4
2024-06-24,16.6,28.0,15.9,234.0,0.0,92.3138386844923,32.81963450218459,123.49283008247173,13.277007698244057,39.437109657803845,24.14353965254739,7.623011430249202,extreme,5
2024-06-25,18.6,23.0,12.5,206.0,0.0,92.42761994914187,36.813116456184595,130.24483008247174,11.36732351011917,43.14170784501196,22.618926244492755,6.791791052617,extreme,3
2024-06-26,20.9,33.0,5.5,73.0,1.5,85.2811185494855,40.6936572961846,137.41083008247173,2.890173625005129,46.76451401392787,8.09023234123618,1.100676929743185,moderate,1
2024-06-27,9.4,88.0,4.6,55.0,17.7,25.20602358906697,17.13825514541061,106.89170722095209,0.0010382991162474783,24.468676805344277,0.0010712003010859708,1.5046656908928256e-07,moderate,2
2024-06-28,13.0,64.0,4.6,62.0,10.0,32.42262177146364,9.76972826614377,94.95445592621401,0.008227365647008227,15.541778171047497,0.006385264253097912,3.5459737238555364e-06,moderate,4
2024-06-29,18.7,42.0,4.5,208.0,0.0,66.6408650041452,12.79307501014377,101.724455926214,0.7034543759920878,19.465954644397208,0.6269125510747501,0.011902144855328258,moderate,1
2024-06-30,13.5,78.0,5.1,222.0,1.2,65.94916740000214,13.63868540214377,107.55845592621401,0.7072466629495835,20.71164714432243,0.6554490530546373,0.012877834174938721,moderate,4
